ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Total_Platforms
92,Paddleton,2019,18+,84,1,0,0,0,Movie,1
93,Cargo,2017,Unknown,84,1,0,0,0,Movie,1
94,Rain Man,1988,18+,83,1,0,0,0,Movie,1
95,Cuba and the Cameraman,2017,Unknown,83,1,0,0,0,Movie,1
96,The Ritual,2017,18+,83,1,0,0,0,Movie,1
97,The Hater,2020,18+,83,1,0,0,0,Movie,1
98,The Edge of Democracy,2019,16+,83,1,0,0,0,Movie,1
99,22-Jul,2018,18+,83,1,0,0,0,Movie,1
100,Adam Sandler: 100% Fresh,2018,18+,83,1,0,0,0,Movie,1
101,Guru,2007,13+,83,1,0,0,0,Movie,1
102,A Twelve-Year Night,2018,18+,83,1,0,0,0,Movie,1
103,Dumplin',2018,13+,83,1,0,0,0,Movie,1
104,The Conjuring,2013,18+,83,1,0,0,0,Movie,1
105,Marriage Story,2019,18+,83,1,0,0,0,Movie,1
106,My Octopus Teacher,2020,all,83,1,0,0,0,Movie,1
107,About Time,2013,13+,83,1,0,0,0,Movie,1
108,Hey Arnold! The Jungle Movie,2017,7+,83,1,1,0,0,Movie,2
109,Kung Fu Panda,2008,7+,83,1,0,0,0,Movie,1
110,Superbad,2007,18+,83,1,0,0,0,Movie,1
111,The Invisible Guest,2016,18+,83,1,0,0,0,Movie,1
112,Chinatown,1974,18+,82,1,0,0,0,Movie,1
113,Mystic River,2003,18+,82,1,0,0,0,Movie,1
114,The Theory of Everything,2014,13+,82,1,0,0,0,Movie,1
115,Springsteen On Broadway,2018,Unknown,82,1,0,0,0,Movie,1
116,The Life Ahead,2020,13+,82,1,0,0,0,Movie,1
117,The Terminal,2004,13+,82,1,0,1,0,Movie,2
118,Scott Pilgrim vs. the World,2010,13+,82,1,0,0,0,Movie,1
119,Being Elmo: A Puppeteer's Journey,2011,7+,82,1,0,0,0,Movie,1
120,Life of Brian,1979,18+,82,1,0,0,0,Movie,1
121,The Resistance Banker,2018,18+,82,1,0,0,0,Movie,1
122,How to Train Your Dragon 2,2014,7+,82,1,0,0,0,Movie,1
123,The Endless Trench,2019,Unknown,82,1,0,0,0,Movie,1
124,Even the Rain,2010,Unknown,82,1,0,0,0,Movie,1
125,Love Actually,2003,18+,82,1,0,0,0,Movie,1
126,Dear Ex,2018,18+,82,1,0,0,0,Movie,1
127,Braven,2018,18+,82,1,0,0,0,Movie,1
128,Period. End of Sentence.,2018,Unknown,82,1,0,0,0,Movie,1
129,Captain Fantastic,2016,18+,82,1,0,0,0,Movie,1
130,Veronica,2017,18+,81,1,0,0,0,Movie,1
131,The Siege of Jadotville,2016,Unknown,81,1,0,0,0,Movie,1
132,Into the Inferno,2016,Unknown,81,1,0,0,0,Movie,1
133,Ricky Gervais: Humanity,2018,18+,81,1,0,0,0,Movie,1
134,A Whisker Away,2020,7+,81,1,0,0,0,Movie,1
135,Lady Bird,2017,18+,81,1,0,0,0,Movie,1
136,Road to Perdition,2002,18+,81,1,0,0,0,Movie,1
137,Boogie Nights,1997,18+,81,1,0,0,0,Movie,1
138,Total Recall,1990,16+,81,1,0,0,0,Movie,1
139,Bo Burnham: Inside,2021,18+,81,1,0,0,0,Movie,1
140,Snowpiercer,2013,18+,81,1,0,0,0,Movie,1
141,Circus of Books,2019,Unknown,81,1,0,0,0,Movie,1
142,Tallulah,2016,Unknown,81,1,0,0,0,Movie,1
143,The Conjuring 2,2016,18+,81,1,0,0,0,Movie,1
144,They'll Love Me When I'm Dead,2018,18+,81,1,0,0,0,Movie,1
145,Nocturnal Animals,2016,18+,81,1,0,0,0,Movie,1
146,Get Me Roger Stone,2017,16+,81,1,0,0,0,Movie,1
147,Hachi: A Dog's Tale,2009,all,81,1,0,0,0,Movie,1
148,Dances with Wolves,1990,13+,80,1,0,0,0,Movie,1
149,Udta Punjab,2016,18+,80,1,0,0,0,Movie,1
150,Bareilly's Barfi,2017,Unknown,80,1,0,0,0,Movie,1
151,Divines,2016,Unknown,80,1,0,0,0,Movie,1
152,Maktub,2017,7+,80,1,0,0,0,Movie,1
153,Ittefaq,2017,7+,80,1,0,0,0,Movie,1
154,Hannah Gadsby: Nanette,2018,18+,80,1,0,0,0,Movie,1
155,Ali Wong: Hard Knock Wife,2018,18+,80,1,0,0,0,Movie,1
156,Seven Pounds,2008,13+,80,1,0,1,0,Movie,2
157,Uncut Gems,2019,18+,80,1,0,0,0,Movie,1
158,The Kindergarten Teacher,2018,18+,80,1,0,0,0,Movie,1
159,Les Misérables,2012,13+,80,1,0,1,0,Movie,2
160,The Sky Is Pink,2019,Unknown,80,1,0,0,0,Movie,1
161,Next Gen,2018,7+,80,1,0,0,0,Movie,1
